t,count
1757643698.006888,12
1757643698.5779822,13
1757643699.2489583,14
1757643699.8994217,15
1757643700.7495832,15
1757643701.5001698,15
1757643702.0554104,14
1757643703.0611792,15
1757643703.9026942,12
1757643704.388416,14
1757643704.862293,12
1757643706.0046446,12
1757643706.5482213,12
1757643707.0190685,12
1757643707.9780002,12
1757643708.6477735,12
1757643709.3998394,13
1757643710.076106,13
1757643710.6848536,13
1757643711.0065646,13
1757643711.4983437,13
1757643712.7057865,13
1757643713.362314,12
1757643714.0332649,12
1757643714.5430117,12
1757643715.0316083,12
1757643715.8638525,12
1757643716.3457193,12
1757643716.9329793,12
1757643717.2451618,12
1757643718.1445768,12
1757643719.4070327,11
1757643720.0560117,11
1757643720.470961,12
1757643721.2741756,11
1757643722.3035011,12
1757643722.6940958,11
1757643723.138978,13
1757643723.565002,13
1757643723.7724814,14
1757643724.3590577,14
1757643725.0481772,14
1757643726.0428245,14
1757643726.4882658,14
1757643727.2145092,14
1757643727.8305392,15
1757643728.278448,15
1757643728.7768657,15
1757643729.2611623,15
1757643729.7778637,14
1757643729.9888082,14
1757643730.3577886,14
1757643730.6977916,14
1757643730.8658772,14
1757643731.190137,14
1757643731.3951454,13
1757643731.58833,13
1757643731.7764158,13
1757643731.9637318,13
1757643732.1861029,13
1757643732.3748865,13
1757643732.5794601,12
1757643732.7651646,12
1757643732.9460845,12
1757643733.1698318,12
1757643733.3606794,12
1757643733.5621412,12
1757643733.7466476,12
1757643733.965569,12
1757643734.1904693,12
1757643734.4335163,13
1757643734.7254858,13
1757643734.9261358,13
1757643735.142066,12
1757643735.3699648,12
1757643735.5255487,12
1757643735.6817677,12
1757643735.912659,14
1757643736.1106644,14
1757643736.301194,14
1757643736.4936786,14
1757643736.6784394,14
1757643736.8966212,14
1757643737.1494758,14
1757643737.4531724,14
1757643737.675105,14
1757643737.9854586,14
1757643738.2947857,13
1757643738.571129,13
1757643739.0614328,13
1757643739.5683353,13
1757643740.0367901,13
1757643740.3420937,13
1757643740.7381313,13
1757643741.204484,13
1757643741.429453,13
1757643741.7715604,13
1757643742.202424,13
1757643742.5879185,14
1757643742.813316,14
1757643743.0088112,14
1757643743.1944716,14
1757643743.4321492,14
1757643743.6536932,13
1757643743.8437946,14
1757643744.0740135,13
1757643744.2444425,13
1757643744.5113995,13
